tag,x,y,z
en:Stoner_rock,18.92653,5.4818726,-2.429703
es:Hip_hop_soul,-24.733915,7.530834,-4.73341
es:Breakbeat,-11.520372,10.198359,-14.71151
nl:Groovemetal,6.582006,18.09698,-12.509251
cs:New_Age,-13.554271,-7.27048,1.4399652
en:Anarcho-punk,18.492043,2.1977262,-14.438103
en:Extreme_metal,13.457509,25.239244,-1.3185111
fr:Folk,10.462101,-15.05769,12.124622
es:Turbo-folk,9.013712,-13.100977,14.932607
es:Rocksteady,-21.401278,0.7378681,11.942184
ja:シンフォニックメタル,5.760398,24.951366,11.316338
fr:New_age,-13.980284,-7.2874136,0.7465983
en:Comedy_music,3.6516082,-5.4099216,1.6106573
nl:Elektronische_muziek,-4.2973714,-1.7635741,-7.7168455
en:Funk_music,-11.041511,21.353212,8.763293
es:Música_instrumental,-7.197826,8.848233,-2.0258715
en:Madchester,16.318523,-9.556616,-13.669467
nl:Easy_listening,-21.705511,-7.182514,-4.3945417
es:Folk-rock,12.545785,-13.525777,14.448723
en:Gothic_metal,29.542048,8.772761,-2.4543972
fr:Ska_punk,26.339231,-6.9486814,-8.666363
fr:Musique_de_film,-2.5321596,-5.6227746,2.073346
es:Rock_gótico,27.662542,6.654054,-5.5852456
en:Rock_Music,13.90697,-1.0249093,5.681419
es:Dance_rock,-9.055274,-10.046787,-10.592074
es:Viking_metal,16.984797,24.37681,6.8585258
en:Blues-rock,6.887168,4.7982492,21.345644
fr:Metalcore,10.857239,17.102938,-18.041973
nl:Shoegaze,8.722014,-4.608242,-8.38056
fr:Pop_latino,-8.411719,-16.057587,16.812906
en:Post-metal,9.692863,23.763418,-1.8076818
en:Cool_jazz,-14.662984,12.022741,11.602354
en:Crust_punk,13.354541,7.5857525,-15.439802
nl:Moderne_r&b,-17.201296,-3.12798,4.785153
cs:Dance-punk,16.350712,-6.263914,-20.364357
es:New_wave,4.5405636,-4.486848,-17.842638
fr:Ambient,-4.9835544,4.122096,-16.107622
ja:アニメソング,-6.1489787,-15.28725,3.025706
es:Horrorcore,-16.061998,17.90295,-5.507161
fr:Post_rock,7.8468614,0.9677398,-6.233642
es:Música_tradicional,4.4237986,-17.012884,13.54813
es:Electropop,-6.566513,-4.3283014,-25.118662
nl:Krautrock,12.773094,0.991619,-8.760445
fr:Gabber,-12.092261,6.335123,-20.319382
en:Underground_hip_hop,-27.947636,12.373038,-3.6021225
cs:Jazz,-8.420729,9.574295,10.739284
en:Rocksteady,-21.397251,0.74183786,11.936632
es:EDM,-8.933767,-9.051469,-11.6962
en:Roots_reggae,-24.055386,-1.170881,16.74011
en:New_rave,0.32947022,-7.278858,-16.139841
fr:Black_metal,12.439611,18.310799,-0.7422884
fr:Garage_rock,5.932796,-9.990593,-31.427738
es:Música_Rock,11.099853,-2.9737937,6.2344575
ja:シンフォニックブラックメタル,8.054495,23.605268,10.4528885
es:Hip_Hop,-22.632957,10.744485,-5.375472
es:Latin_pop,-7.667004,-14.8249235,18.648655
ja:ニュー・メタル,4.201012,19.651781,-0.14523222
es:Rhythm_&_Blues,-15.469173,0.30036613,11.219756
fr:Chicano_rap,-21.993828,16.876766,-0.9999521
ja:インディーロック,13.878929,-24.466074,1.1430874
en:Symphonic_metal,3.8153348,25.280056,10.23539
es:Bop,-2.8249047,17.119022,20.602772
en:Freak_folk,12.088568,-16.043036,15.169992
ja:フォークロック,11.183461,-13.1895685,14.575383
en:Raï,-14.887335,-4.7328434,10.563927
en:Glitch_music,-11.914863,-4.386365,-6.5779576
ja:アイドル歌謡,-4.052773,-16.335922,-2.8247428
es:Black_metal_sinfónico,7.3634315,23.566698,9.769612
es:Post-hardcore,9.596026,8.546763,-22.713951
fr:Gothic_metal,27.9028,10.109158,-2.0396633
en:Punk_blues,9.824255,4.2659554,23.895962
en:Worldbeat,-14.733121,16.546148,5.056345
nl:Dubstep,-14.217795,6.6840725,-14.148557
cs:Folk,9.318282,-16.24559,12.820863
es:Reggae_rock,-24.57179,-3.1251597,14.617569
en:Melodic_hardcore,12.422927,11.29966,-22.910646
nl:Post-rock,6.9984784,1.3587452,-5.807665
en:Free_improvisation,-5.3057857,0.934256,-0.41961023
ja:ロマン派音楽,-0.13890852,-4.5481906,7.529801
ja:バロック・ポップ,5.813061,-14.703695,3.1462655
en:Post-punk,14.616569,-4.065209,-15.135928
nl:Country,3.7105742,-11.096509,23.255451
es:Drone_doom,3.0404112,10.1033745,-8.578757
es:Metal_cristiano,12.435988,18.558449,3.6881583
nl:Smooth_jazz,-11.9476,14.969827,15.755055
es:Electro_pop,-6.480982,-3.6428032,-25.933882
en:Dark_cabaret,0.669259,-8.918956,-7.092541
ja:クリスチャン・ロック,4.2947125,-0.3725499,13.6538
fr:Afrobeat,-28.220457,-3.9699135,15.09544
ja:デスメタル,13.486348,19.661911,-7.1846685
cs:Noise_rock,8.435284,-9.854955,-11.300349
fr:C-pop,-4.771618,-21.732811,-0.9063176
ja:歌謡曲,-10.1696415,-14.581355,5.203078
nl:Streetpunk,15.595652,1.0900874,-18.7346
en:Sunshine_pop,6.60354,-17.99844,-1.3433926
fr:Remix,-15.806218,4.3768024,-11.031882
fr:Dream_pop,7.1114264,-17.63346,-9.356819
fr:Free_jazz,-11.098184,9.784322,12.262437
nl:Funk,-12.636512,20.987368,7.9887543
es:Free_jazz,-11.480176,9.897183,11.752645
en:Traditional_pop,4.0542407,-21.425375,-2.2201731
cs:Black_metal,13.059485,19.661257,-0.6289284
fr:Pop_music,0.7933617,-17.58307,-3.4231553
es:EBM,-8.461163,-4.4664364,-15.916804
nl:Symfonische_rock,6.9209356,5.999664,4.238623
ja:ラップ,-20.955574,13.560164,-1.9352239
nl:Indierock,15.409721,-28.25844,-1.9958099
ja:リズム・アンド・ブルース,-13.714768,1.2660437,8.922644
nl:Funkrock,-12.722205,21.038431,4.16852
es:Jazz_rock,-5.903073,16.21941,4.6061254
en:Jam_rock,10.764123,1.6080642,15.231827
fr:Dance_music,-8.550329,-15.917402,-13.338495
ja:クロスオーバー,1.5047207,13.838149,-17.5703
en:Reggae,-22.897837,-3.3919,14.205845
ja:デスコア,14.491159,17.388779,-17.419868
en:Breakbeat,-11.88818,10.173718,-14.738325
es:Horror_punk,24.466162,5.26854,-9.946385
ja:ラテン・ポップ,-8.372725,-15.22768,16.431362
es:Crossover,1.3610169,13.578716,-18.18154
es:Soundtrack,-0.45477936,-5.9950657,-2.0027435
fr:Soul_jazz,-7.428843,7.479057,14.2112665
ja:バラード,-11.106522,-14.182795,5.517977
fr:Trip_hop,-23.36617,0.3609902,-5.2742105
en:Ambient_music,-3.595651,3.1088192,-15.1983795
ja:ロックンロール,12.732621,-0.2030421,10.449286
ja:スペース・ロック,7.0036607,4.6275935,-8.190322
ja:スムーズ・ジャズ,-13.045929,15.595775,16.561018
nl:Trance,-17.026491,-8.859943,-19.842745
es:Reggae_fusion,-23.939074,-2.2216895,13.006966
fr:Hard_bop,-5.4464083,16.274004,22.004105
ja:サイケデリック・ロック,15.6302185,-2.2789302,-4.9238787
en:Swing_music,-16.304983,6.4979286,13.425393
fr:French_touch,-18.660612,-5.7597213,-13.067249
en:Crossover,0.7955157,14.345919,-17.495949
fr:Electro-pop,-3.244414,-5.7256536,-22.9137
fr:Folk_metal,16.765074,20.274773,6.055633
fr:Indie_rock,13.08066,-26.128468,-1.021904
es:Hardcore,10.181359,7.73546,-18.9148
nl:Opera,1.4036776,0.52965355,6.2310305
es:Sludge_metal,11.98091,13.155107,-8.905102
ja:スウィング・ジャズ,-15.57742,7.1260333,13.596631
fr:Death_metal,13.44494,19.53711,-5.820244
en:Deathgrind,15.833534,14.994313,-15.419489
fr:Sophisti-pop,4.7893534,-18.656107,-4.988857
fr:J-rock,-7.7230372,-22.849447,6.6242814
en:Afro-Cuban_jazz,-8.415443,7.9375153,10.42719
en:Krautrock,13.155874,1.3556232,-8.641668
es:Symphonic_Metal,5.724192,26.33551,9.009931
es:Heavy_Metal,7.8044286,22.067148,0.7718236
cs:Opera,2.118197,0.61720586,5.4806376
en:Deathrock,15.640784,-3.508226,-12.958845
en:Comedy_rock,4.53431,-5.3140836,1.5778915
fr:Metal_néo-classique,2.7151415,26.643248,-0.8337028
fr:Folk_psychédélique,15.368347,-16.304083,14.517304
es:Post-rock,7.7529626,0.86113966,-7.1187987
nl:Latijns-Amerikaanse_muziek,-10.965642,-11.905934,16.070482
fr:Metal_extrême,13.667762,25.722616,-1.0635446
en:French_house,-18.603472,-5.858243,-13.0212145
es:Metal,7.6574407,23.224438,-0.0018832417
cs:Protopunk,22.099764,-5.366296,-16.065556
ja:ポスト・グランジ,16.019644,-15.921851,-20.556667
es:Metal_Sinfónico,5.1621723,25.368168,10.335323
en:Chill-out_music,-21.542334,-2.4186678,-8.619395
es:Death_Metal_Melódico,15.759224,20.856966,-9.334652
en:Progressive_rock,9.015087,5.680859,1.7599528
es:Adult_contemporary,-18.658342,-7.927184,3.806391
fr:Musique_improvisée,-5.3013487,0.92944646,-0.42179632
en:Classical_music,-3.166793,-4.557437,8.425016
nl:Deephouse,-22.480972,-3.1432614,-14.192904
es:Post_hardcore,10.310346,8.215163,-22.40979
en:Jazz_funk,-10.453576,16.772608,9.832232
nl:Rockmuziek,12.890413,-2.5358648,3.265859
nl:Soulmuziek,-6.0879345,3.7949142,17.257513
fr:Metal_symphonique,4.6199117,24.770943,11.1071825
es:Rock_Progresivo,9.2735,5.487049,0.055436566
ja:ビッグ・ビート,-14.176486,4.446348,1.7351575
en:Techno_music,-9.117283,-0.063925,-14.913329
cs:Post-hardcore,9.909328,7.1485357,-22.498213
es:Shred,5.1181784,19.059807,-11.614147
es:Indietronica,-3.5782957,-10.021763,-21.336771
nl:Black_metal,11.795241,19.147463,-1.8414228
en:Vallenato,-17.409212,-11.084448,20.342932
cs:Pop_music,2.9794524,-17.370173,-2.4435802
nl:Folkpunk,14.893358,-12.292133,11.634483
en:Neo-progressive_rock,9.052416,8.919578,-0.014807564
nl:Nederhop,-20.700302,10.574818,-2.501396
ja:ゴシック・ロック,28.694656,6.9713607,-6.0952067
fr:Eurodance,-9.082194,-16.574568,-14.163624
ja:アイドル,-7.0289583,-20.691565,2.060014
en:Delta_blues,3.1920087,5.734888,25.113234
nl:Ballad,-1.3565029,-21.028511,10.741729
es:Teen_pop,1.1011674,-19.94428,-8.407363
es:Psychobilly,26.62773,-2.7368498,-17.021744
ja:ブルース・ロック,7.2975492,3.828605,20.266443
en:Post-grunge,15.49683,-15.278683,-22.475918
en:Quiet_storm,-11.114428,1.0197413,4.2328315
en:Tropical_house,-20.348211,-0.7677707,-14.296216
en:Arabic_music,-7.702139,-7.5236382,10.969355
ja:エレクトロニック・ミュージック,-6.260435,-2.1164396,-7.6084433
en:Outlaw_country,3.6949763,-9.181355,25.598026
es:Art_rock,4.5299754,3.078281,-0.81308043
fr:Musique_minimaliste,-10.163341,1.3383859,-8.906272
es:New_prog,9.077022,8.51385,-3.3735206
en:East_Coast_Hip_Hop,-29.502253,9.511879,8.364582
ja:パワーメタル,10.278727,25.523746,3.0457096
cs:Groove_metal,5.424434,17.09041,-12.122085
en:R&B,-14.377056,-1.0631539,7.398277
es:Hardcore_punk,12.527857,8.062377,-20.106867
nl:Folk,9.453279,-16.984625,11.354264
es:Gospel,-3.424681,-1.6990393,17.744804
nl:Dance-pop,-3.9098284,-15.607425,-8.414902
en:Rave_music,-0.3241252,-7.413761,-15.91957
es:Alternative_rock,9.741293,12.444485,16.07779
es:Grindcore,14.537597,12.303823,-16.858711
es:French_house,-18.67556,-5.725831,-13.098568
ja:ニューレイヴ,0.59075576,-7.225986,-16.22709
en:Country_rock,6.832092,-7.4603267,22.731049
nl:Reggae,-22.941565,-4.0133085,14.994554
es:Mariachi,-12.935807,-15.649182,20.074038
fr:Southern_rock,9.831996,-5.068522,24.662746
es:Anarcopunk,18.494987,2.203116,-14.43745
cs:Vážná_hudba,-1.8750048,-4.1307106,6.5468335
en:Jazz_pop,-5.877995,14.581533,8.603154
en:Jam_band,10.760898,1.6096803,15.233828
en:Experimental_metal,3.3555694,11.680783,-2.0273104
cs:Punk_rock,18.69196,-2.348277,-16.913637
ja:ポストパンク・リバイバル,13.037321,-3.9024644,-17.292559
fr:Quiet_storm,-11.114483,1.0201856,4.2323694
fr:Rap_west_coast,-30.428787,10.637646,10.228156
en:Gangsta_Rap,-24.411621,18.02326,-0.18543692
en:Psychedelic_music,16.979168,-4.219086,-5.3555684
es:Progressive_rock,8.330656,6.1421266,-0.57715726
en:Zouk,-19.821095,-6.356437,13.348277
es:Rock_Cristiano,4.2330737,-1.186373,13.548898
cs:Funk_rock,-11.316416,20.134846,5.1225977
es:Rock_Industrial,-5.978263,21.918678,-11.61699
fr:Art_punk,15.87567,-0.5639637,-15.069275
es:Reggae_en_español,-7.768373,-10.627799,14.942235
fr:Rhythm_and_blues,-13.12035,1.5508662,9.782049
en:Electro,-11.14784,-0.62432665,-20.83005
fr:Rap_metal,-8.389159,18.617592,1.2198877
en:Horrorcore,-16.105629,17.907122,-5.473744
en:Psychedelic_rock,15.363086,-3.739606,-5.148401
es:Oi!,25.310675,-2.7559423,-8.032961
es:Rock_&_Roll,11.711641,-2.686866,10.928531
ja:シューゲイザー,8.986153,-4.2125125,-7.8882236
en:Rock_and_Roll,13.541368,-0.62890965,11.802508
en:Progressive_death_metal,12.265207,24.385916,-6.413715
ja:エクストリーム・メタル,14.158397,25.667702,-1.0883259
en:Latin_Pop,-7.4454494,-15.477847,16.159313
fr:Eurobeat,-9.771632,-16.60332,-17.106836
ja:テクニカルデスメタル,13.815762,23.767128,-8.181587
nl:Ska,28.105968,-7.7699304,-7.9881043
fr:Bossa_nova,-10.963761,-6.4688334,17.477776
es:Pop_Latino,-8.041217,-14.9757395,17.408014
en:Regional_Mexican,-11.587207,-10.807903,16.811071
fr:Americana,-0.28350368,-11.504449,27.16857
es:Arena_rock,16.07495,1.1328694,8.090729
nl:Southern_rock,10.313051,-4.433913,23.361212
en:Avant-rock,2.7382207,7.886068,0.07823744
es:Noise_pop,8.16019,-12.298404,-9.88843
es:New_Age,-13.44998,-6.67822,0.87834895
ja:エレクトロ・ポップ,-7.255128,-4.9737077,-24.366724
es:Chicago_blues,1.71139,4.570148,27.108402
en:Freestyle_music,-22.847727,9.129613,-2.183
es:Moombahton,-16.535227,4.6549397,-16.362316
en:A_cappella,-11.692152,-2.117135,8.304597
en:Dream_pop,7.4112377,-18.004366,-9.964331
en:Downtempo,-7.7943087,7.6876264,-14.752062
ja:オペラ,1.787491,1.2218357,5.9740953
fr:Soft_rock,21.43439,-0.2687886,8.08696
cs:Progressive_metal,7.455379,26.480038,-8.218996
en:Gothic_rock,28.543009,8.19874,-6.264278
en:French_pop_music,1.5028319,-21.710533,2.1681807
es:Gothic_metal,28.548613,7.9733996,-0.83716947
en:Latin_music,-9.566186,-12.451775,16.921227
en:Djent,12.740568,16.15193,-18.55543
fr:J-Rock,-7.7230372,-22.849447,6.6242814
en:Instrumental_rock,-5.3559756,10.556223,-4.4813747
nl:Progressive_metal,9.611444,27.931759,-7.3974977
fr:Alternative_metal,11.806545,17.568466,17.092226
es:Bubblegum_pop,5.183838,-23.321552,-7.728814
nl:Bluegrass,8.597176,-12.494231,26.724052
en:Shibuya-kei,-9.141118,-26.071238,4.3694954
es:Blue-eyed_soul,-9.09242,4.254874,23.358606
es:Post_Punk,13.948834,-4.5790715,-13.870622
en:Christmas_music,-2.4822655,-11.695486,9.256827
fr:Blues-rock,7.0965347,3.5090399,21.52595
es:Metal_alternativo,10.494718,16.854637,18.39843
en:Chiptune,-5.263226,-6.950264,0.012578744
en:Intelligent_Dance_Music,-9.504249,-5.1924167,-10.3976755
en:Rhythm_&_blues,-11.385341,0.5737854,9.247511
fr:K-pop,-10.146665,-23.998373,-1.9476597
en:Jazz_rap,-12.235371,10.990072,6.321238
es:Pop_rock,7.432263,-15.0181055,-2.8425395
es:Jangle_pop,11.399754,-13.410138,-5.144012
es:Glam_Metal,6.1534333,17.83316,4.9847
es:Southern_rock,8.944506,-3.606469,23.186487
nl:Indie_pop,16.367817,-26.814678,-1.2755575
es:Bluegrass,8.395327,-12.346769,26.068295
nl:Noiserock,7.506195,-9.358313,-11.71746
es:Punk-rock,19.34801,-1.2120707,-15.294171
en:Conscious_hip_hop,-28.943935,10.775547,-2.802433
cs:Gothic_rock,27.882854,7.0017796,-6.5853295
ja:映画音楽,-1.8545438,-5.2527,1.8181795
en:Drumstep,-14.860412,8.542323,-14.255482
es:Shock_rock,19.229649,-4.8485503,3.3813994
nl:Neo-soul,-11.408852,1.6457653,19.392092
es:Progressive_Metal,8.729562,23.867302,-7.8969207
nl:Hip-Hop,-26.961306,12.3926525,-9.241081
en:Hip_hop_soul,-24.776262,7.510122,-4.7125587
nl:Hardcore_rap,-20.110613,16.064978,-6.1844816
es:Post-Punk,14.135966,-4.010184,-13.768688
ja:プログレッシヴ・ロック,9.651193,4.4078326,-1.6393214
cs:Hip_Hop,-23.580652,10.241669,-3.6713715
fr:Downtempo,-7.787554,7.690553,-14.752469
es:Dream_pop,7.5394425,-17.639435,-9.2619705
en:Lounge_music,-15.4554,-7.430497,-9.985034
es:West_coast_rap,-30.67446,9.818466,9.343601
en:Emo_pop,19.757133,4.9832873,-21.774542
nl:HaFaBra,-8.61894,-8.882848,3.2633834
en:Schlager,-8.339197,-21.263008,-12.169475
en:Folktronica,14.615471,-20.342411,11.069909
ja:演歌,-11.7015,-19.705822,3.8631964
nl:Techno,-10.32565,-0.7862757,-15.387811
en:Pop_rock,8.429389,-17.263771,-0.85364026
cs:Jazz_rock,-3.909328,13.980725,5.6710186
es:Anison,-6.2734113,-15.393336,2.9991379
nl:Rhythm-and-blues,-13.309889,0.83597666,11.1274395
en:Pop_music,4.239402,-18.534216,-1.5168692
es:Hot,-11.296925,9.046306,10.169317
fr:Shoegazing,8.3697815,-4.367303,-8.622147
en:World_music,-8.052439,-8.426587,4.9018717
fr:Jazz_rock,-2.6411808,14.153715,8.666796
ja:フォーク・メタル,17.150152,20.559998,4.971289
nl:Melodieuze_deathmetal,16.72416,21.794537,-8.904524
ja:環境音楽,-4.8439527,2.971709,-15.111951
ja:テクノ,-9.9712105,-1.2533233,-15.020134
fr:Chant_de_Noël,-2.5498435,-11.788634,9.534709
en:Hardstyle,-13.471996,5.781487,-20.286964
es:Electro_hop,-21.386274,9.238886,-5.551269
en:Palm_Desert_Scene,14.0280695,-3.0975356,17.02222
fr:Europop,-7.4570017,-18.89328,-16.805765
en:Noise_pop,8.195586,-12.376698,-9.85113
en:French_pop,1.4012419,-21.898783,1.9817774
ja:ニュー・ウェーヴ,4.447517,-5.7974467,-18.887909
fr:Pop_psychédélique,8.232987,-19.498375,-4.493249
en:Easy_Listening,-21.237005,-7.511401,-3.948752
en:Nu_jazz,-9.329547,10.787085,9.442031
fr:Salsa,-15.633477,-14.262586,16.557468
es:J-pop,-8.91492,-22.413303,1.0924423
es:Dubstep,-13.700697,6.930473,-14.008758
nl:Gospelmuziek,-2.2282147,-2.5087063,18.407516
es:Música_industrial,-6.6600704,19.251568,-12.356737
en:Rap_music,-25.894785,13.166503,-0.53360784
fr:Experimental_rock,0.461964,6.461624,-2.0690784
en:Death_metal,13.059691,20.973967,-5.129391
ja:ビバップ,-3.288607,15.241266,20.141972
en:Pop-rock,8.512098,-17.652126,-1.1710389
fr:Avant-garde,-0.8632537,10.608139,2.6698804
nl:Powermetal,10.575909,25.073221,3.9048364
en:Cello_rock,11.059942,5.2585964,5.0818825
en:Electropunk,12.077977,-2.4061544,-21.30135
nl:Synthpop,-5.128744,-6.0478973,-23.916233
en:Samba,-15.22824,-16.167423,12.347839
es:Urban,-21.270191,-1.0839565,4.256765
nl:Electropop,-7.235642,-5.408412,-25.329048
fr:Musique_symphonique,-0.6762439,-2.2568269,6.343437
en:Latin_jazz,-9.766329,-10.942375,19.678774
en:Techno,-9.530752,-0.25365916,-14.873088
en:Electropop,-6.5758147,-4.637303,-24.254488
fr:Metal_industriel,-3.3907726,20.985611,-10.169039
es:Tech_house,-16.641108,-0.8493711,-13.324778
es:Música_popular,-2.2684007,-10.361956,3.6976619
nl:Industrial_metal,-2.8715208,20.224741,-9.969132
fr:Electro,-12.495291,-0.6800713,-21.395325
es:World_Music,-6.4283895,-7.648022,5.029789
fr:Avant-garde_jazz,-2.1054304,8.429281,4.7235847
nl:Powerpop,13.329268,-16.951262,-6.1131644
en:R&B_music,-12.727156,-0.4922279,8.759349
es:J-rock,-6.969838,-22.47937,5.6851315
es:Street_punk,15.882029,1.0872933,-18.712963
es:Neo-psicodelia,14.708605,-4.7830753,-8.085291
en:Pop_rap,-30.972294,6.2168164,-0.18837269
es:Viking_Metal,16.984797,24.37681,6.8585258
en:Ballad,-0.95444953,-20.876766,11.307605
es:Samba,-15.239567,-16.132011,12.263466
nl:Grindcore,14.450275,11.304283,-15.721082
cs:Doo-wop,-15.6437025,0.3705968,15.543259
en:Southern_rap,-28.934534,11.100545,6.3683686
en:Skate_punk,20.438662,-2.944635,-22.602064
en:Kayōkyoku,-10.121474,-14.592606,5.1959777
es:Dark_Wave,2.0448575,0.624752,-19.37055
ja:スムーズジャズ,-12.457995,15.7627535,15.806899
ja:サウンドトラック,-1.472422,-6.7702155,-1.59781
